,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
0,0,C3-C8-C10,44.82542310095767,9677.191092862811,0.0005116462707519,C3-C8-C10-C16-C17,"(3, 8, 10, 16, 17)",C3-C8-C10-C16-C17,27.4399995803833,13986,8664.549827575684,1790.100336074829,12.076,3-8-10-16-17,90.098,8471.3
1,1,C1-C6-C8,37.42567330332198,8549.189541231954,0.0001068115234375,C1-C6-C8-C15-C19,"(1, 6, 8, 15, 19)",C1-C6-C8-C15-C19,56.81999921798706,13990,8373.711585998535,1692.873477935791,12.099,1-6-8-15-19,86.33800000000001,8432.960000000001
2,2,C4-C6-C7,40.20454525949219,9596.720078864564,8.153915405273438e-05,C4-C6-C7-C17-C19,"(4, 6, 7, 17, 19)",C4-C6-C7-C17-C19,31.240001320838928,13990,8549.075603485107,1783.0159664154053,12.005,4-6-7-17-19,82.902,8400.59
3,3,C2-C5-C8-C10,54.57075206543633,10275.64271237668,0.0001537799835205,C2-C5-C8-C10-C16,"(2, 5, 8, 10, 16)",C2-C5-C8-C10-C16,41.19000136852264,13980,8367.740392684937,1687.734842300415,11.765,2-5-8-10-16,83.346,8588.49
4,4,C2-C6-C8,43.53116279517905,8639.224939469044,8.535385131835938e-05,C2-C6-C8-C15-C18,"(2, 6, 8, 15, 18)",C2-C6-C8-C15-C18,73.90999794006348,13979,8869.71664428711,2103.403329849243,12.267,2-6-8-15-18,80.03399999999999,8399.890000000001
5,5,C4-C5-C8,42.80657730032439,9802.889890373648,7.82012939453125e-05,C4-C5-C8-C20-C21,"(4, 5, 8, 20, 21)",C4-C5-C8-C20-C21,50.42999982833862,13983,8394.451379776001,1691.044807434082,11.779,4-5-8-20-21,87.602,8747.5
6,6,C1-C3-C4-C7,46.34808932851415,10426.742840943343,7.557868957519531e-05,C1-C3-C4-C7-C17,"(1, 3, 4, 7, 17)",C1-C3-C4-C7-C17,58.02000164985657,13995,8457.154273986816,1699.993371963501,12.309,1-3-4-7-17,88.49199999999999,8424.86
7,7,C1-C2-C7-C10,44.623684908476186,10095.645040855628,7.605552673339844e-05,C1-C2-C7-C10-C17,"(1, 2, 7, 10, 17)",C1-C2-C7-C10-C17,25.0,13989,8600.948333740234,1765.9080028533936,11.94,1-2-7-10-17,84.054,8481.91
8,8,C1-C4-C8-C10,49.94795198365071,10178.85644244177,7.557868957519531e-05,C1-C4-C8-C10-C21,"(1, 4, 8, 10, 21)",C1-C4-C8-C10-C21,43.9300000667572,13985,8489.93706703186,1704.476833343506,11.834,1-4-8-10-21,90.416,8474.68
9,9,C3-C9-C10,40.904860147512,10270.543145972964,7.605552673339844e-05,C3-C9-C10-C20-C24,"(3, 9, 10, 20, 24)",C3-C9-C10-C20-C24,40.549999475479126,13983,8427.1981716156,1696.0961818695068,11.761,3-9-10-20-24,87.06800000000001,8637.079999999998
10,10,C1-C5-C6,37.28692719454314,8509.888475232287,7.581710815429688e-05,C1-C5-C6-C15-C17,"(1, 5, 6, 15, 17)",C1-C5-C6-C15-C17,51.94000005722046,13995,9008.77285003662,2204.526662826538,12.4,1-5-6-15-17,84.282,8563.61
11,11,C2-C5-C10,45.26249223566143,8875.149414284806,7.557868957519531e-05,C2-C5-C10-C15-C19,"(2, 5, 10, 15, 19)",C2-C5-C10-C15-C19,27.12000012397766,13989,8444.913387298584,1696.0105895996094,11.778,2-5-10-15-19,83.98800000000001,8564.89
12,12,C2-C5-C6-C8,48.27492155249109,10566.495415307483,7.557868957519531e-05,C2-C5-C6-C8-C17,"(2, 5, 6, 8, 17)",C2-C5-C6-C8-C17,31.560000777244568,13984,8412.701606750488,1696.1193084716797,11.852,2-5-6-8-17,78.638,8545.8
13,13,C2-C6-C8,42.91065494807695,8778.982308912076,8.511543273925781e-05,C2-C6-C8-C16-C19,"(2, 6, 8, 16, 19)",C2-C6-C8-C16-C19,53.68000268936157,13980,9015.629768371582,2283.200263977051,12.398,2-6-8-16-19,80.85,8421.730000000001
14,14,C1-C7-C9,38.70828454370185,9164.817732728809,0.0001032352447509,C1-C7-C9-C20-C22,"(1, 7, 9, 20, 22)",C1-C7-C9-C20-C22,40.92000126838684,13988,8512.271881103516,1718.24312210083,11.878,1-7-9-20-22,85.71000000000001,8650.300000000001
15,15,C6-C9-C10,47.64858504327969,10251.702681613777,7.43865966796875e-05,C6-C9-C10-C16-C19,"(6, 9, 10, 16, 19)",C6-C9-C10-C16-C19,27.810001373291016,13986,8367.501020431519,1697.5789070129397,11.748,6-9-10-16-19,84.73800000000001,8454.81
16,16,C1-C2-C8,36.469221441172216,8448.073914440669,7.486343383789062e-05,C1-C2-C8-C20-C21,"(1, 2, 8, 20, 21)",C1-C2-C8-C20-C21,53.86000275611877,13982,8424.410343170166,1699.1198062896729,11.729,1-2-8-20-21,86.25800000000001,8662.06
17,17,C2-C8-C10,47.56404363388284,9098.66902000192,7.462501525878906e-05,C2-C8-C10-C21-C22,"(2, 8, 10, 21, 22)",C2-C8-C10-C21-C22,52.36999988555908,13979,8563.525199890137,1787.2264385223389,12.579,2-8-10-21-22,83.228,8462.150000000001
18,18,C4-C7-C9,43.49589763441858,10168.514056652382,7.319450378417969e-05,C4-C7-C9-C17-C20,"(4, 7, 9, 17, 20)",C4-C7-C9-C17-C20,34.380000829696655,13988,8528.6283493042,1719.2504405975342,11.884,4-7-9-17-20,87.46399999999998,8616.23
19,19,C3-C4-C8-C10,52.14032591286206,10641.007345010275,9.512901306152344e-05,C3-C4-C8-C10-C18,"(3, 4, 8, 10, 18)",C3-C4-C8-C10-C18,54.28000092506409,13980,8474.238157272339,1706.7809104919434,11.857,3-4-8-10-18,88.28200000000001,8432.48
20,20,C2-C5-C9-C10,53.32371982097124,10527.601931013804,7.82012939453125e-05,C2-C5-C9-C10-C22,"(2, 5, 9, 10, 22)",C2-C5-C9-C10-C22,42.30999946594238,13984,8460.179328918457,1695.3954696655271,11.782,2-5-9-10-22,80.75800000000001,8573.300000000001
