,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
0,0,C3-C8-C10,16.143148,13065.419,C3-C8-C10-C16-C17,"(3, 8, 10, 16, 17)",C3-C8-C10-C16-C17,11.180000007152556,11988,12959.092378616331,2641.251564025879,19349.0686416626,3-8-10-16-17,33.428,13567.85
1,1,C1-C6-C8,12.594878,12389.417,C1-C6-C8-C15-C19,"(1, 6, 8, 15, 19)",C1-C6-C8-C15-C19,11.029999703168867,11992,13730.721712112429,3151.134967803955,20025.508880615234,1-6-8-15-19,35.586,12841.88
2,2,C4-C6-C7,17.683899,13475.479,C4-C6-C7-C17-C19,"(4, 6, 7, 17, 19)",C4-C6-C7-C17-C19,14.329999685287476,11990,12937.634468078611,2622.507333755493,19156.556844711304,4-6-7-17-19,29.56,13315.73
3,3,C2-C5-C8-C10,20.153534,14977.682,C2-C5-C8-C10-C16,"(2, 5, 8, 10, 16)",C2-C5-C8-C10-C16,13.429999351501465,11984,13882.88116455078,3233.234405517578,20090.10434150696,2-5-8-10-16,21.088,13058.27
4,4,C2-C6-C8,13.028686,12419.189,C2-C6-C8-C15-C18,"(2, 6, 8, 15, 18)",C2-C6-C8-C15-C18,13.079999387264252,11983,13099.066734313965,2651.86071395874,19215.24930000305,2-6-8-15-18,24.136,12947.7
5,5,C4-C5-C8,15.462841,13123.493,C4-C5-C8-C20-C21,"(4, 5, 8, 20, 21)",C4-C5-C8-C20-C21,12.439999729394913,11987,13895.065069198608,3310.877561569214,20046.32520675659,4-5-8-20-21,31.748,13118.23
6,6,C1-C3-C4-C7,21.961355,13818.136,C1-C3-C4-C7-C17,"(1, 3, 4, 7, 17)",C1-C3-C4-C7-C17,14.350000023841858,11994,12825.616359710692,2635.0343227386475,19240.69380760193,1-3-4-7-17,34.056,13370.74
7,7,C1-C2-C7-C10,22.48951,14343.911,C1-C2-C7-C10-C17,"(1, 2, 7, 10, 17)",C1-C2-C7-C10-C17,11.159999668598177,11991,12903.6066532135,2641.298532485962,19050.46772956848,1-2-7-10-17,27.834,13401.510000000002
8,8,C1-C4-C8-C10,21.204212,14453.255,C1-C4-C8-C10-C21,"(1, 4, 8, 10, 21)",C1-C4-C8-C10-C21,15.42000025510788,11985,13110.679388046265,2687.825918197632,20138.33355903625,1-4-8-10-21,35.892,13441.39
9,9,C3-C9-C10,17.014433,13358.299,C3-C9-C10-C20-C24,"(3, 9, 10, 20, 24)",C3-C9-C10-C20-C24,8.739999681711197,11987,13088.124752044678,2655.9016704559326,19162.13369369507,3-9-10-20-24,36.246,13144.81
10,10,C1-C5-C6,12.604476,12339.901,C1-C5-C6-C15-C17,"(1, 5, 6, 15, 17)",C1-C5-C6-C15-C17,17.080000042915344,11996,12998.116493225098,2672.536849975586,19346.064805984497,1-5-6-15-17,31.184,13029.38
11,11,C2-C5-C10,13.748099,12572.958,C2-C5-C10-C15-C19,"(2, 5, 10, 15, 19)",C2-C5-C10-C15-C19,11.12999990582466,11991,13004.143953323364,2632.6253414154053,20054.60262298584,2-5-10-15-19,27.746,12905.080000000002
12,12,C2-C5-C6-C8,19.13015,14108.264,C2-C5-C6-C8-C17,"(2, 5, 6, 8, 17)",C2-C5-C6-C8-C17,12.25000023841858,11988,12933.797359466553,2685.6069564819336,19562.15524673462,2-5-6-8-17,22.56,13074.09
13,13,C2-C6-C8,12.464071,13037.827,C2-C6-C8-C16-C19,"(2, 6, 8, 16, 19)",C2-C6-C8-C16-C19,12.690000236034392,11985,12849.936246871948,2658.926010131836,19160.26759147644,2-6-8-16-19,25.416,12834.19
14,14,C1-C7-C9,12.172051,12666.334,C1-C7-C9-C20-C22,"(1, 7, 9, 20, 22)",C1-C7-C9-C20-C22,14.360000193119047,11991,13079.57124710083,2640.288829803467,19280.73143959045,1-7-9-20-22,34.658,12924.74
15,15,C6-C9-C10,19.274443,13558.499,C6-C9-C10-C16-C19,"(6, 9, 10, 16, 19)",C6-C9-C10-C16-C19,11.51999980211258,11988,14084.830045700071,3585.799217224121,20392.28868484497,6-9-10-16-19,30.894,13039.34
16,16,C1-C2-C8,11.3860035,12589.528,C1-C2-C8-C20-C21,"(1, 2, 8, 20, 21)",C1-C2-C8-C20-C21,13.809999823570251,11989,12900.336980819702,2672.94716835022,19199.607849121094,1-2-8-20-21,34.35,12979.93
17,17,C2-C8-C10,14.016949,12790.928,C2-C8-C10-C21-C22,"(2, 8, 10, 21, 22)",C2-C8-C10-C21-C22,13.050000369548798,11981,12882.58934020996,2664.0405654907227,19043.8551902771,2-8-10-21-22,30.486,13295.31
18,18,C4-C7-C9,18.975822,13473.764,C4-C7-C9-C17-C20,"(4, 7, 9, 17, 20)",C4-C7-C9-C17-C20,11.68999969959259,11991,12904.26778793335,2653.44786643982,19319.424152374268,4-7-9-17-20,33.694,13375.39
