,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
0,0,C3-C8-C10,37.41531,9552.721,C3-C8-C10-C16-C17,"(3, 8, 10, 16, 17)",C3-C8-C10-C16-C17,25.90000033378601,13987,9531.718492507936,1993.1797981262207,13487.469673156738,3-8-10-16-17,74.708,8414.89
1,1,C1-C6-C8,33.8833,8386.844,C1-C6-C8-C15-C19,"(1, 6, 8, 15, 19)",C1-C6-C8-C15-C19,40.02000093460083,13992,9280.577898025513,1882.534503936768,13543.58720779419,1-6-8-15-19,76.11,8500.0
2,2,C4-C6-C7,39.86723,9713.377,C4-C6-C7-C17-C19,"(4, 6, 7, 17, 19)",C4-C6-C7-C17-C19,28.24000120162964,13991,9349.32804107666,1924.076795578003,13384.964942932129,4-6-7-17-19,76.838,8464.84
3,3,C2-C5-C8-C10,42.186096,10426.426,C2-C5-C8-C10-C16,"(2, 5, 8, 10, 16)",C2-C5-C8-C10-C16,32.19999969005585,13982,9202.59976387024,1865.5555248260496,13121.19436264038,2-5-8-10-16,73.046,8544.23
4,4,C2-C6-C8,36.021805,8430.763,C2-C6-C8-C15-C18,"(2, 6, 8, 15, 18)",C2-C6-C8-C15-C18,35.92999875545502,13982,9780.948400497437,2299.623966217041,13667.88411140442,2-6-8-15-18,71.04599999999999,8454.29
5,5,C4-C5-C8,35.655354,9414.59,C4-C5-C8-C20-C21,"(4, 5, 8, 20, 21)",C4-C5-C8-C20-C21,30.550000071525574,13985,9251.621961593628,1869.235038757324,13189.44525718689,4-5-8-20-21,75.404,8807.3
6,6,C1-C3-C4-C7,44.119907,10278.164,C1-C3-C4-C7-C17,"(1, 3, 4, 7, 17)",C1-C3-C4-C7-C17,28.51000130176544,13995,9281.166791915894,1887.7997398376465,13674.821853637695,1-3-4-7-17,79.446,8516.36
7,7,C1-C2-C7-C10,45.29566,10475.054,C1-C2-C7-C10-C17,"(1, 2, 7, 10, 17)",C1-C2-C7-C10-C17,48.28000068664551,13990,9380.33366203308,1908.6582660675049,13340.578556060793,1-2-7-10-17,80.4,8502.710000000001
8,8,C1-C4-C8-C10,41.779358,10211.626,C1-C4-C8-C10-C21,"(1, 4, 8, 10, 21)",C1-C4-C8-C10-C21,36.73000037670136,13986,9218.148231506348,1875.0925064086916,13124.59683418274,1-4-8-10-21,76.338,8511.34
9,9,C3-C9-C10,40.173424,9762.851,C3-C9-C10-C20-C24,"(3, 9, 10, 20, 24)",C3-C9-C10-C20-C24,37.85000145435333,13984,9233.330011367798,1883.5818767547607,13123.433589935305,3-9-10-20-24,78.92800000000001,8637.99
10,10,C1-C5-C6,36.441322,8486.658,C1-C5-C6-C15-C17,"(1, 5, 6, 15, 17)",C1-C5-C6-C15-C17,49.54000115394592,13996,10033.486366271973,2501.3439655303955,13912.676095962524,1-5-6-15-17,77.9,8622.95
11,11,C2-C5-C10,37.737087,9241.416,C2-C5-C10-C15-C19,"(2, 5, 10, 15, 19)",C2-C5-C10-C15-C19,35.74000000953674,13990,9322.100400924684,1886.441707611084,13121.017456054688,2-5-10-15-19,78.638,8548.74
12,12,C2-C5-C6-C8,44.743195,10569.021,C2-C5-C6-C8-C17,"(2, 5, 6, 8, 17)",C2-C5-C6-C8-C17,25.36999881267548,13987,9219.074249267578,1885.901689529419,13160.385608673096,2-5-6-8-17,73.474,8577.720000000001
13,13,C2-C6-C8,33.99448,8924.098,C2-C6-C8-C16-C19,"(2, 6, 8, 16, 19)",C2-C6-C8-C16-C19,25.339999794960026,13983,10086.840867996216,2674.398183822632,13991.379976272585,2-6-8-16-19,72.71799999999999,8453.86
14,14,C1-C7-C9,37.186676,8732.201,C1-C7-C9-C20-C22,"(1, 7, 9, 20, 22)",C1-C7-C9-C20-C22,53.049999475479126,13989,9300.70447921753,1875.328063964844,13244.234561920166,1-7-9-20-22,81.934,8712.310000000001
15,15,C6-C9-C10,42.40658,10550.93,C6-C9-C10-C16-C19,"(6, 9, 10, 16, 19)",C6-C9-C10-C16-C19,40.950000286102295,13987,9130.377769470217,1868.4535026550293,12944.243907928469,6-9-10-16-19,75.50399999999999,8420.06
16,16,C1-C2-C8,33.8928,8217.297,C1-C2-C8-C20-C21,"(1, 2, 8, 20, 21)",C1-C2-C8-C20-C21,27.500000596046448,13985,9250.488758087158,1874.0565776824951,13069.974660873411,1-2-8-20-21,78.638,8754.800000000001
17,17,C2-C8-C10,33.74592,9154.582,C2-C8-C10-C21-C22,"(2, 8, 10, 21, 22)",C2-C8-C10-C21-C22,24.6399998664856,13981,9296.919822692871,1876.2924671173096,14039.774417877195,2-8-10-21-22,77.244,8452.82
18,18,C4-C7-C9,44.294895,9865.215,C4-C7-C9-C17-C20,"(4, 7, 9, 17, 20)",C4-C7-C9-C17-C20,40.41999876499176,13989,9374.948501586914,1904.5777320861816,13157.505989074709,4-7-9-17-20,79.652,8660.09
19,19,C3-C4-C8-C10,46.21981,10179.004,C3-C4-C8-C10-C18,"(3, 4, 8, 10, 18)",C3-C4-C8-C10-C18,33.070001006126404,13981,9261.213541030884,1879.4643878936768,13128.395318984984,3-4-8-10-18,70.85,8433.82
20,20,C2-C5-C9-C10,45.705227,10963.587,C2-C5-C9-C10-C22,"(2, 5, 9, 10, 22)",C2-C5-C9-C10-C22,18.960000574588776,13985,9208.34755897522,1849.6241569519043,13107.40876197815,2-5-9-10-22,78.47,8540.1
21,21,C2-C7-C8,34.500393,8934.742,C2-C7-C8-C16-C19,"(2, 7, 8, 16, 19)",C2-C7-C8-C16-C19,38.53999972343445,13987,9254.252910614014,1894.120693206787,13128.856182098389,2-7-8-16-19,75.812,8441.03
22,22,C7-C8-C9,41.981365,10132.065,C7-C8-C9-C18-C24,"(7, 8, 9, 18, 24)",C7-C8-C9-C18-C24,20.80000042915344,13986,10388.141870498655,2895.4415321350098,14220.31831741333,7-8-9-18-24,74.378,8411.36
23,23,C1-C6-C8,33.490715,8671.058,C1-C6-C8-C16-C23,"(1, 6, 8, 16, 23)",C1-C6-C8-C16-C23,19.220000505447388,13988,9433.213233947754,1911.565542221069,13365.354061126707,1-6-8-16-23,74.338,8518.28
24,24,C1-C2-C6,37.95999,8582.822,C1-C2-C6-C15-C20,"(1, 2, 6, 15, 20)",C1-C2-C6-C15-C20,31.83000087738037,13985,9241.409540176392,1883.528470993042,13181.747198104858,1-2-6-15-20,77.98400000000001,8750.86
25,25,C3-C4-C10,38.105938,9490.473,C3-C4-C10-C22-C25,"(3, 4, 10, 22, 25)",C3-C4-C10-C22-C25,36.14000082015991,13985,9288.519620895386,1879.924297332764,13110.743045806885,3-4-10-22-25,78.046,8419.01
26,26,C1-C2-C6,34.68151,8427.654,C1-C2-C6-C21-C24,"(1, 2, 6, 21, 24)",C1-C2-C6-C21-C24,45.98999917507172,13986,9306.514024734495,1880.659818649292,13300.196170806885,1-2-6-21-24,78.236,8545.94
27,27,C2-C7-C8-C10,43.944374,10581.739,C2-C7-C8-C10-C17,"(2, 7, 8, 10, 17)",C2-C7-C8-C10-C17,40.380001068115234,13986,9354.806900024414,1897.947072982788,13227.213144302368,2-7-8-10-17,76.768,8435.62
28,28,C4-C7-C8,37.144188,9490.568,C4-C7-C8-C20-C23,"(4, 7, 8, 20, 23)",C4-C7-C8-C20-C23,29.71000075340271,13985,10591.80760383606,3146.940231323242,14636.674404144287,4-7-8-20-23,76.732,8688.94
