New_Combination,Predicted_Accuracy(%),Predicted_DataVolume,Predicted_Latency_Sum(ms),Predicted_RoundTime_Max(ms),Numerical_Combination,ZeroShot_Accuracy(%),ZeroShot_DataVolume,ZeroShot_Latency_Sum(ms),ZeroShot_RoundTime_Max(ms),Combo_Set,Historical_Combination,Historical_Accuracy,Historical_DataVolume,Historical_Latency,Historical_RoundTime
C2-C3-C6-C19-C20,11.379999667406082,11986,5084.185361862183,1141.227960586548,2-3-6-19-20,11.52159,11845.351,58460.63,14921.394,"{'C20', 'C2', 'C6', 'C3', 'C19'}",C2-C3,18.240000307559967,4795.0,,11675.539016723633
C2-C3-C6-C19-C20,11.379999667406082,11986,5084.185361862183,1141.227960586548,2-3-6-19-20,11.52159,11845.351,58460.63,14921.394,"{'C20', 'C2', 'C6', 'C3', 'C19'}",C2-C6,11.12999990582466,4792.0,,11675.539016723633
C2-C3-C6-C19-C20,11.379999667406082,11986,5084.185361862183,1141.227960586548,2-3-6-19-20,11.52159,11845.351,58460.63,14921.394,"{'C20', 'C2', 'C6', 'C3', 'C19'}",C3-C6,13.979999721050262,4797.0,,11017.77482032776
C2-C3-C6-C19-C20,11.379999667406082,11986,5084.185361862183,1141.227960586548,2-3-6-19-20,11.52159,11845.351,58460.63,14921.394,"{'C20', 'C2', 'C6', 'C3', 'C19'}",C2-C3-C6,17.239999771118164,7192.0,,11675.539016723633
C5-C8-C17-C22-C24,11.010000109672546,11984,4898.158550262451,1083.1329822540283,5-8-17-22-24,12.544854,11783.922,61264.535,15477.954,"{'C5', 'C8', 'C22', 'C24', 'C17'}",C5-C8,20.430000126361847,4796.0,,14680.899620056152
C1-C3-C8-C19-C20,11.43999993801117,11993,4759.742975234985,965.6870365142822,1-3-8-19-20,12.482008,11884.33,61226.785,15573.046,"{'C8', 'C1', 'C20', 'C3', 'C19'}",C1-C3,18.69000047445297,4800.0,,11987.98441886902
C1-C3-C8-C19-C20,11.43999993801117,11993,4759.742975234985,965.6870365142822,1-3-8-19-20,12.482008,11884.33,61226.785,15573.046,"{'C8', 'C1', 'C20', 'C3', 'C19'}",C1-C8,10.289999842643738,4796.0,,14680.899620056152
C1-C3-C8-C19-C20,11.43999993801117,11993,4759.742975234985,965.6870365142822,1-3-8-19-20,12.482008,11884.33,61226.785,15573.046,"{'C8', 'C1', 'C20', 'C3', 'C19'}",C3-C8,13.48000019788742,4796.0,,14680.899620056152
C1-C3-C8-C19-C20,11.43999993801117,11993,4759.742975234985,965.6870365142822,1-3-8-19-20,12.482008,11884.33,61226.785,15573.046,"{'C8', 'C1', 'C20', 'C3', 'C19'}",C1-C3-C8,12.229999899864197,7196.0,,14680.899620056152
C4-C7-C8-C17-C21,12.42000013589859,11991,5003.420352935791,1129.2064189910889,4-7-8-17-21,12.120075,12079.944,63834.53,16241.508,"{'C4', 'C8', 'C7', 'C21', 'C17'}",C4-C7,13.490000367164612,4795.0,,12736.55891418457
C4-C7-C8-C17-C21,12.42000013589859,11991,5003.420352935791,1129.2064189910889,4-7-8-17-21,12.120075,12079.944,63834.53,16241.508,"{'C4', 'C8', 'C7', 'C21', 'C17'}",C4-C8,10.490000247955322,4791.0,,14680.899620056152
C4-C7-C8-C17-C21,12.42000013589859,11991,5003.420352935791,1129.2064189910889,4-7-8-17-21,12.120075,12079.944,63834.53,16241.508,"{'C4', 'C8', 'C7', 'C21', 'C17'}",C7-C8,17.03999936580658,4796.0,,14680.899620056152
C4-C7-C8-C17-C21,12.42000013589859,11991,5003.420352935791,1129.2064189910889,4-7-8-17-21,12.120075,12079.944,63834.53,16241.508,"{'C4', 'C8', 'C7', 'C21', 'C17'}",C4-C7-C8,16.95999950170517,7191.0,,14680.899620056152
C1-C2-C6-C22-C24,12.030000239610672,11977,4814.815998077393,982.4709892272948,1-2-6-22-24,12.173839,11801.707,57409.773,13916.794,"{'C1', 'C22', 'C24', 'C2', 'C6'}",C1-C2,10.409999638795853,4795.0,,11987.98441886902
C1-C2-C6-C22-C24,12.030000239610672,11977,4814.815998077393,982.4709892272948,1-2-6-22-24,12.173839,11801.707,57409.773,13916.794,"{'C1', 'C22', 'C24', 'C2', 'C6'}",C1-C6,18.950000405311584,4797.0,,11987.98441886902
C1-C2-C6-C22-C24,12.030000239610672,11977,4814.815998077393,982.4709892272948,1-2-6-22-24,12.173839,11801.707,57409.773,13916.794,"{'C1', 'C22', 'C24', 'C2', 'C6'}",C2-C6,11.12999990582466,4792.0,,11675.539016723633
C1-C2-C6-C22-C24,12.030000239610672,11977,4814.815998077393,982.4709892272948,1-2-6-22-24,12.173839,11801.707,57409.773,13916.794,"{'C1', 'C22', 'C24', 'C2', 'C6'}",C1-C2-C6,10.890000313520432,7192.0,,11987.98441886902
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C1-C3,18.69000047445297,4800.0,,11987.98441886902
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C1-C4,11.429999768733978,4795.0,,11987.98441886902
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C1-C5,15.35000056028366,4800.0,,12506.68454170227
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C1-C6,18.950000405311584,4797.0,,11987.98441886902
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C3-C4,9.679999947547913,4795.0,,9391.66235923767
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C3-C5,18.039999902248383,4800.0,,12506.68454170227
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C3-C6,13.979999721050262,4797.0,,11017.77482032776
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C4-C5,19.169999659061432,4795.0,,12506.68454170227
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C4-C6,15.880000591278076,4792.0,,11017.77482032776
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C5-C6,8.250000327825546,4797.0,,12506.68454170227
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C1-C3-C4,16.300000250339508,7195.0,,11987.98441886902
C1-C3-C4-C5-C6,11.640000343322754,11989,5066.764116287231,1026.9103050231934,1-3-4-5-6,13.162903,11890.607,55143.996,13820.537,"{'C5', 'C4', 'C1', 'C6', 'C3'}",C1-C3-C5,16.96999967098236,7200.0,,12506.68454170227
